timestamp,box,land,population
2015-01-01 00:00:00+00:00,0.6670728346362288,1.2144134793892316,1.0596935685048738
2015-01-01 01:00:00+00:00,0.5869932961074279,1.1210121346855222,0.9502933801554644
2015-01-01 02:00:00+00:00,0.4851477695413584,0.9216208079669518,0.7257976115874339
2015-01-01 03:00:00+00:00,0.4292503831269032,0.8072025414285237,0.5986546198643932
2015-01-01 04:00:00+00:00,0.35493121777393133,0.6599655526208786,0.40250567607315774
2015-01-01 05:00:00+00:00,0.24861923279408477,0.5062633386999481,0.19771654098125244
2015-01-01 06:00:00+00:00,0.17617236120983498,0.3971948333940289,0.062061937188355336
2015-01-01 07:00:00+00:00,0.15884138489232194,0.3403140221256239,0.03441574745112403
2015-01-01 08:00:00+00:00,0.25003804715041494,0.36793791093909706,0.06894230224819413
2015-01-01 09:00:00+00:00,0.5906255700960904,0.6995984402337029,0.46815183390544435
2015-01-01 10:00:00+00:00,1.164953052705865,1.3132217678019045,1.2132891907119687
2015-01-01 11:00:00+00:00,1.7608656191805139,1.9738030308701935,1.9414698249519637
2015-01-01 12:00:00+00:00,2.1919908975102027,2.432053121118144,2.478356201723995
2015-01-01 13:00:00+00:00,2.412291889802059,2.645513857392165,2.742199033946881
2015-01-01 14:00:00+00:00,2.3886379017532637,2.6107337584519827,2.719683099235801
2015-01-01 15:00:00+00:00,1.9239155254785008,2.104305583457134,2.1877750941627054
2015-01-01 16:00:00+00:00,1.4587212702928194,1.631466720691298,1.661789538159751
2015-01-01 17:00:00+00:00,1.2139281913271598,1.3920989425464672,1.4345493539962713
2015-01-01 18:00:00+00:00,1.1172029668497439,1.3487093281730003,1.3934471649015219
2015-01-01 19:00:00+00:00,1.034249582181026,1.2539590545437387,1.3049936796270702
2015-01-01 20:00:00+00:00,0.994078787379231,1.2050148923182609,1.2843291081860422
2015-01-01 21:00:00+00:00,1.0068928690206043,1.228627585926893,1.325571085174225
2015-01-01 22:00:00+00:00,0.9524205372530928,1.2490671159034241,1.336668870790961
2015-01-01 23:00:00+00:00,0.9980170658758529,1.305505570911348,1.3940341212350713
2015-01-02 00:00:00+00:00,1.0335682149296805,1.3534072427939932,1.4836128520973675
2015-01-02 01:00:00+00:00,1.0743354057193173,1.4044342090780813,1.545860527694184
2015-01-02 02:00:00+00:00,1.1335416645077885,1.4711881411610412,1.6224334383258243
2015-01-02 03:00:00+00:00,1.2721395503103474,1.5644047057067196,1.7052070957926952
2015-01-02 04:00:00+00:00,1.371560993739688,1.651252876581794,1.7930591623847003
2015-01-02 05:00:00+00:00,1.4951220122614328,1.7615013752283604,1.8371339687673294
2015-01-02 06:00:00+00:00,1.683756206509382,1.9416400925721151,1.951365310510771
2015-01-02 07:00:00+00:00,1.9318904442603122,2.2745670950146755,2.2660732004120367
2015-01-02 08:00:00+00:00,2.2484878504820953,2.6355781353915075,2.6522222682323706
2015-01-02 09:00:00+00:00,2.9013937805920986,3.304298757831929,3.3747315749472686
2015-01-02 10:00:00+00:00,3.4292241753432466,3.8440797294793625,3.9941516674401423
2015-01-02 11:00:00+00:00,3.8504096621772463,4.22476053046613,4.417249572391126
2015-01-02 12:00:00+00:00,4.146985215390699,4.487061989710067,4.670630912730042
2015-01-02 13:00:00+00:00,4.314683428052472,4.700899978296948,4.895647073026288
2015-01-02 14:00:00+00:00,4.317857543368687,4.679218771451281,4.86728872170754
2015-01-02 15:00:00+00:00,4.171489914895781,4.496066266625991,4.639609490598534
2015-01-02 16:00:00+00:00,3.9934697527542133,4.266290621618005,4.3502026547614605
2015-01-02 17:00:00+00:00,3.9119963789066223,4.164369887077618,4.207674315513305
2015-01-02 18:00:00+00:00,3.8576994838273837,4.0828084989127165,4.109366197533514
2015-01-02 19:00:00+00:00,3.741662241642254,3.9287909003598442,3.8865999405968856
2015-01-02 20:00:00+00:00,3.6268237021086813,3.785178453750462,3.7126743402392353
2015-01-02 21:00:00+00:00,3.4702611773012086,3.5876870962253293,3.4872450690055863
2015-01-02 22:00:00+00:00,3.306500565493532,3.436214049843487,3.319937416973836
2015-01-02 23:00:00+00:00,3.178441140911263,3.270736915487667,3.137207155148589
2015-01-03 00:00:00+00:00,3.078398921689013,3.1395292209327543,2.9920683354827107
